V1	V2.x	V3	V4	V5	len	grp	diff
NC_021684.1	Gnomon	non_coding	1	5164	5163	1	1
NC_021684.1	Gnomon	exon	5165	5202	37	1	1
NC_021684.1	Gnomon	intron	5203	6035	832	2	1
NC_021684.1	Gnomon	exon	6036	6184	148	3	1
NC_021684.1	Gnomon	intron	6185	7733	1548	4	1
NC_021684.1	Gnomon	exon	7734	7809	75	5	1
NC_021684.1	Gnomon	intron	7810	10634	2824	6	1
NC_021684.1	Gnomon	exon	10635	10760	125	7	1
NC_021684.1	Gnomon	intron	10761	12072	1311	8	1
NC_021684.1	Gnomon	exon	12073	12104	31	9	1
NC_021684.1	Gnomon	intron	12105	12841	736	10	1
NC_021684.1	Gnomon	exon	12842	12951	109	11	1
NC_021684.1	Gnomon	intron	12952	16017	3065	12	1
NC_021684.1	Gnomon	exon	16018	16072	54	13	1
NC_021684.1	Gnomon	intron	16073	18908	2835	14	1
NC_021684.1	Gnomon	exon	18909	18981	72	15	1
NC_021684.1	Gnomon	intron	18982	19086	104	16	1
NC_021684.1	Gnomon	exon	19087	19231	144	17	1
NC_021684.1	Gnomon	intron	19232	20598	1366	18	1
NC_021684.1	Gnomon	exon	20599	20675	76	19	1
NC_021684.1	Gnomon	intron	20676	25062	4386	20	1
NC_021684.1	Gnomon	exon	25063	25292	229	21	1
NC_021684.1	Gnomon	intron	25293	25608	315	22	1
NC_021684.1	Gnomon	exon	25609	25866	257	23	1
NC_021684.1	Gnomon	intron	25867	26023	156	24	1
NC_021684.1	Gnomon	exon	26024	26593	569	25	1
NC_021684.1	Gnomon	intron	26594	26750	156	26	1
NC_021684.1	Gnomon	exon	26751	27032	281	27	1
NC_021684.1	Gnomon	intron	27033	27121	88	28	1
NC_021684.1	Gnomon	exon	27122	27406	284	29	1
NC_021684.1	Gnomon	intron	27407	27511	104	30	1
NC_021684.1	Gnomon	exon	27512	27608	96	31	1
NC_021684.1	Gnomon	intron	27609	27769	160	32	1
NC_021684.1	Gnomon	exon	27770	28310	540	33	1
NC_021684.1	Gnomon	intron	28311	31914	3603	34	1
NC_021684.1	Gnomon	exon	31915	32107	192	35	1
NC_021684.1	Gnomon	intron	32108	33303	1195	36	1
NC_021684.1	Gnomon	exon	33304	33564	260	37	1
NC_021684.1	Gnomon	intron	33565	34096	531	38	1
NC_021684.1	Gnomon	exon	34097	34224	127	39	1
NC_021684.1	Gnomon	intron	34225	34470	245	40	1
NC_021684.1	Gnomon	exon	34471	34755	284	41	1
NC_021684.1	Gnomon	intron	34756	34876	120	42	1
NC_021684.1	Gnomon	exon	34877	34973	96	43	1
NC_021684.1	Gnomon	intron	34974	35107	133	44	1
NC_021684.1	Gnomon	exon	35108	35183	75	45	1
NC_021684.1	Gnomon	intron	35184	35191	7	46	1
NC_021684.1	Gnomon	exon	35192	35348	156	47	1
NC_021684.1	Gnomon	intron	35349	35437	88	48	1
NC_021684.1	Gnomon	exon	35438	35722	284	49	1
NC_021684.1	Gnomon	intron	35723	35843	120	50	1
NC_021684.1	Gnomon	exon	35844	35940	96	51	1
NC_021684.1	Gnomon	intron	35941	36074	133	52	1
NC_021684.1	Gnomon	exon	36075	36397	322	53	1
NC_021684.1	Gnomon	intron	36398	44728	8330	54	1
NC_021684.1	Gnomon	exon	44729	45160	431	55	1
NC_021684.1	Gnomon	intron	45161	76961	31800	56	1
NC_021684.1	Gnomon	exon	76962	77174	212	57	1
NC_021684.1	Gnomon	intron	77175	80033	2858	58	1
NC_021684.1	Gnomon	exon	80034	80186	152	59	1
NC_021684.1	Gnomon	intron	80187	83146	2959	60	1
NC_021684.1	Gnomon	exon	83147	83599	452	61	1
NC_021684.1	Gnomon	intron	83600	84543	943	62	1
NC_021684.1	Gnomon	exon	84544	85563	1019	63	1
NC_021684.1	Gnomon	intron	85564	86623	1059	64	1
NC_021684.1	Gnomon	exon	86624	86775	151	65	1
NC_021684.1	Gnomon	intron	86776	93757	6981	66	1
NC_021684.1	Gnomon	exon	93758	93968	210	67	1
NC_021684.1	Gnomon	intron	93969	97141	3172	68	1
NC_021684.1	Gnomon	exon	97142	98718	1576	69	1
NC_021684.1	Gnomon	intron	98719	108930	10211	70	1
NC_021684.1	Gnomon	exon	108931	109258	327	71	1
NC_021684.1	Gnomon	intron	109259	133411	24152	72	1
NC_021684.1	Gnomon	exon	133412	133483	71	73	1
NC_021684.1	Gnomon	intron	133484	143539	10055	74	1
NC_021684.1	Gnomon	exon	143540	143559	19	75	1
NC_021684.1	Gnomon	intron	143560	144084	524	76	1
NC_021684.1	Gnomon	exon	144085	144159	74	77	1
NC_021684.1	Gnomon	intron	144160	146880	2720	78	1
NC_021684.1	Gnomon	exon	146881	147051	170	79	1
NC_021684.1	Gnomon	intron	147052	151435	4383	80	1
NC_021684.1	Gnomon	exon	151436	151604	168	81	1
NC_021684.1	Gnomon	intron	151605	152874	1269	82	1
NC_021684.1	Gnomon	exon	152875	153472	597	83	1
NC_021684.1	Gnomon	intron	153473	159382	5909	84	1
NC_021684.1	Gnomon	exon	159383	159472	89	85	1
NC_021684.1	Gnomon	intron	159473	160672	1199	86	1
NC_021684.1	Gnomon	exon	160673	160809	136	87	1
NC_021684.1	Gnomon	intron	160810	162127	1317	88	1
NC_021684.1	Gnomon	exon	162128	162284	156	89	1
NC_021684.1	Gnomon	intron	162285	166313	4028	90	1
NC_021684.1	Gnomon	exon	166314	166452	138	91	1
NC_021684.1	Gnomon	intron	166453	167243	790	92	1
NC_021684.1	Gnomon	exon	167244	167302	58	93	1
NC_021684.1	Gnomon	intron	167303	168873	1570	94	1
NC_021684.1	Gnomon	exon	168874	169020	146	95	1
NC_021684.1	Gnomon	intron	169021	169691	670	96	1
NC_021684.1	Gnomon	exon	169692	169784	92	97	1
NC_021684.1	Gnomon	intron	169785	171661	1876	98	1
NC_021684.1	Gnomon	exon	171662	171741	79	99	1
NC_021684.1	Gnomon	intron	171742	172142	400	100	1
NC_021684.1	Gnomon	exon	172143	172173	30	101	1
NC_021684.1	Gnomon	intron	172174	172644	470	102	1
NC_021684.1	Gnomon	exon	172645	172746	101	103	1
NC_021684.1	Gnomon	intron	172747	176906	4159	104	1
NC_021684.1	Gnomon	exon	176907	176969	62	105	1
NC_021684.1	Gnomon	intron	176970	179782	2812	106	1
NC_021684.1	Gnomon	exon	179783	179905	122	107	1
NC_021684.1	Gnomon	intron	179906	182279	2373	108	1
NC_021684.1	Gnomon	exon	182280	182432	152	109	1
NC_021684.1	Gnomon	intron	182433	184053	1620	110	1
NC_021684.1	Gnomon	exon	184054	184194	140	111	1
NC_021684.1	Gnomon	intron	184195	188768	4573	112	1
NC_021684.1	Gnomon	exon	188769	188861	92	113	1
NC_021684.1	Gnomon	intron	188862	193442	4580	114	1
NC_021684.1	Gnomon	exon	193443	193523	80	115	1
NC_021684.1	Gnomon	intron	193524	196453	2929	116	1
NC_021684.1	Gnomon	non_coding	196454	196696	242	117	1
NC_021684.1	Gnomon	exon	196697	198014	1317	118	1
NC_021684.1	Gnomon	intron	198015	198492	477	119	1
NC_021684.1	Gnomon	exon	198493	198930	437	120	1
NC_021684.1	Gnomon	intron	198931	199595	664	121	1
NC_021684.1	Gnomon	exon	199596	199996	400	122	1
NC_021684.1	Gnomon	intron	199997	203292	3295	123	1
NC_021684.1	Gnomon	exon	203293	203721	428	124	1
NC_021684.1	Gnomon	intron	203722	203742	20	125	1
NC_021684.1	Gnomon	exon	203743	203868	125	126	1
NC_021684.1	Gnomon	intron	203869	204608	739	127	1
NC_021684.1	Gnomon	exon	204609	204639	30	128	1
NC_021684.1	Gnomon	intron	204640	219129	14489	129	1
NC_021684.1	Gnomon	exon	219130	219318	188	130	1
NC_021684.1	Gnomon	intron	219319	221599	2280	131	1
NC_021684.1	Gnomon	exon	221600	221747	147	132	1
NC_021684.1	Gnomon	intron	221748	225390	3642	133	1
NC_021684.1	Gnomon	exon	225391	225558	167	134	1
NC_021684.1	Gnomon	intron	225559	232146	6587	135	1
NC_021684.1	Gnomon	exon	232147	233113	966	136	1
NC_021684.1	Gnomon	intron	233114	233165	51	137	1
NC_021684.1	Gnomon	exon	233166	233764	598	138	1
NC_021684.1	Gnomon	intron	233765	235527	1762	139	1
NC_021684.1	Gnomon	exon	235528	235678	150	140	1
NC_021684.1	Gnomon	intron	235679	241986	6307	141	1
NC_021684.1	Gnomon	exon	241987	242129	142	142	1
NC_021684.1	Gnomon	intron	242130	243978	1848	143	1
NC_021684.1	Gnomon	exon	243979	244132	153	144	1
NC_021684.1	Gnomon	intron	244133	247516	3383	145	1
NC_021684.1	Gnomon	exon	247517	247576	59	146	1
NC_021684.1	Gnomon	intron	247577	249103	1526	147	1
NC_021684.1	Gnomon	exon	249104	249175	71	148	1
NC_021684.1	Gnomon	intron	249176	249878	702	149	1
NC_021684.1	Gnomon	exon	249879	251056	1177	150	1
NC_021684.1	Gnomon	intron	251057	259837	8780	151	1
NC_021684.1	Gnomon	exon	259838	260689	851	152	1
NC_021684.1	Gnomon	intron	260690	262549	1859	153	1
NC_021684.1	Gnomon	exon	262550	262711	161	154	1
NC_021684.1	Gnomon	intron	262712	266564	3852	155	1
NC_021684.1	Gnomon	exon	266565	266891	326	156	1
NC_021684.1	Gnomon	intron	266892	313619	46727	157	1
NC_021684.1	Gnomon	exon	313620	314108	488	158	1
NC_021684.1	Gnomon	intron	314109	351640	37531	159	1
NC_021684.1	Gnomon	exon	351641	351813	172	160	1
NC_021684.1	Gnomon	intron	351814	352781	967	161	1
NC_021684.1	Gnomon	exon	352782	353002	220	162	1
NC_021684.1	Gnomon	intron	353003	357850	4847	163	1
NC_021684.1	Gnomon	exon	357851	358008	157	164	1
NC_021684.1	Gnomon	intron	358009	365033	7024	165	1
NC_021684.1	Gnomon	exon	365034	365122	88	166	1
NC_021684.1	Gnomon	intron	365123	365906	783	167	1
NC_021684.1	Gnomon	exon	365907	366126	219	168	1
NC_021684.1	Gnomon	intron	366127	368591	2464	169	1
NC_021684.1	Gnomon	exon	368592	368880	288	170	1
NC_021684.1	Gnomon	intron	368881	371438	2557	171	1
NC_021684.1	Gnomon	exon	371439	371656	217	172	1
NC_021684.1	Gnomon	intron	371657	372204	547	173	1
NC_021684.1	Gnomon	exon	372205	372345	140	174	1
NC_021684.1	Gnomon	intron	372346	374548	2202	175	1
NC_021684.1	Gnomon	exon	374549	374740	191	176	1
